key,tipo,unidad,torre,email,password,ruta_inicial
administrador,administrador,ADMIN,Administracion,qa.admin@adminconjunta.local,AdminConjunta#2026,/admin/dashboard
consejo,consejo,CJ-01,Consejo,qa.consejo@adminconjunta.local,AdminConjunta#2026,/consejo/dashboard
contadora,contadora,CONT,Administracion,qa.contadora@adminconjunta.local,AdminConjunta#2026,/contadora/dashboard
seguridad,seguridad,PORT,Porteria,qa.seguridad@adminconjunta.local,AdminConjunta#2026,/seguridad/dashboard
comite,comite_convivencia,CC-01,Comite,qa.comite@adminconjunta.local,AdminConjunta#2026,/comite/dashboard
servicios,servicios_generales,SG-01,Operaciones,qa.servicios@adminconjunta.local,AdminConjunta#2026,/servicios/dashboard
residencial-001,residente,1,Bloque A,qa.casa001@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-002,propietario_residente,2,Bloque A,qa.casa002@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-003,arrendatario,3,Bloque A,qa.casa003@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-004,propietario_no_residente,4,Bloque A,qa.casa004@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-005,residente,5,Bloque A,qa.casa005@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-006,propietario_residente,6,Bloque A,qa.casa006@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-007,arrendatario,7,Bloque A,qa.casa007@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-008,propietario_no_residente,8,Bloque A,qa.casa008@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-009,residente,9,Bloque A,qa.casa009@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-010,propietario_residente,10,Bloque A,qa.casa010@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-011,arrendatario,11,Bloque A,qa.casa011@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-012,propietario_no_residente,12,Bloque A,qa.casa012@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-013,residente,13,Bloque A,qa.casa013@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-014,propietario_residente,14,Bloque A,qa.casa014@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-015,arrendatario,15,Bloque A,qa.casa015@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-016,propietario_no_residente,16,Bloque A,qa.casa016@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-017,residente,17,Bloque A,qa.casa017@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-018,propietario_residente,18,Bloque A,qa.casa018@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-019,arrendatario,19,Bloque A,qa.casa019@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-020,propietario_no_residente,20,Bloque A,qa.casa020@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-021,residente,21,Bloque A,qa.casa021@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-022,propietario_residente,22,Bloque A,qa.casa022@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-023,arrendatario,23,Bloque A,qa.casa023@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-024,propietario_no_residente,24,Bloque A,qa.casa024@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-025,residente,25,Bloque A,qa.casa025@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-026,propietario_residente,26,Bloque A,qa.casa026@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-027,arrendatario,27,Bloque A,qa.casa027@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-028,propietario_no_residente,28,Bloque A,qa.casa028@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-029,residente,29,Bloque A,qa.casa029@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-030,propietario_residente,30,Bloque A,qa.casa030@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-031,arrendatario,31,Bloque A,qa.casa031@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-032,propietario_no_residente,32,Bloque A,qa.casa032@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-033,residente,33,Bloque A,qa.casa033@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-034,propietario_residente,34,Bloque A,qa.casa034@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-035,arrendatario,35,Bloque A,qa.casa035@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-036,propietario_no_residente,36,Bloque A,qa.casa036@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-037,residente,37,Bloque A,qa.casa037@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-038,propietario_residente,38,Bloque A,qa.casa038@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-039,arrendatario,39,Bloque A,qa.casa039@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-040,propietario_no_residente,40,Bloque A,qa.casa040@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-041,residente,41,Bloque A,qa.casa041@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-042,propietario_residente,42,Bloque A,qa.casa042@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-043,arrendatario,43,Bloque A,qa.casa043@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-044,propietario_no_residente,44,Bloque A,qa.casa044@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-045,residente,45,Bloque A,qa.casa045@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-046,propietario_residente,46,Bloque A,qa.casa046@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-047,arrendatario,47,Bloque A,qa.casa047@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-048,propietario_no_residente,48,Bloque A,qa.casa048@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-049,residente,49,Bloque A,qa.casa049@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-050,propietario_residente,50,Bloque A,qa.casa050@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-051,arrendatario,51,Bloque A,qa.casa051@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-052,propietario_no_residente,52,Bloque A,qa.casa052@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-053,residente,53,Bloque A,qa.casa053@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-054,propietario_residente,54,Bloque A,qa.casa054@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-055,arrendatario,55,Bloque A,qa.casa055@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-056,propietario_no_residente,56,Bloque A,qa.casa056@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-057,residente,57,Bloque A,qa.casa057@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-058,propietario_residente,58,Bloque A,qa.casa058@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-059,arrendatario,59,Bloque A,qa.casa059@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-060,propietario_no_residente,60,Bloque A,qa.casa060@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-061,residente,61,Bloque A,qa.casa061@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-062,propietario_residente,62,Bloque A,qa.casa062@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-063,arrendatario,63,Bloque A,qa.casa063@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-064,propietario_no_residente,64,Bloque A,qa.casa064@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-065,residente,65,Bloque A,qa.casa065@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-066,propietario_residente,66,Bloque A,qa.casa066@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-067,arrendatario,67,Bloque A,qa.casa067@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-068,propietario_no_residente,68,Bloque A,qa.casa068@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-069,residente,69,Bloque A,qa.casa069@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-070,propietario_residente,70,Bloque A,qa.casa070@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
residencial-071,arrendatario,71,Bloque A,qa.casa071@adminconjunta.local,AdminConjunta#2026,/residente/dashboard
